State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Sabah,N.45,ELOPURA,CALVIN CHONG KET KIUN,DAP,12219,17791,0.6868,1,L,MNG,PENIAGA
Sabah,N.46,TANJONG PAPAT,RAYMOND TAN SHU KIAH,BN,4002,10353,0.3866,0,L,KLH,TIADA
Sabah,N.46,TANJONG PAPAT,POON MING FUNG @ FRANKIE,DAP,5818,10353,0.562,1,L,MNG,PEGUAM
Sabah,N.46,TANJONG PAPAT,JUFAZLI SHI AHMAD,BEBAS - KUNCI,533,10353,0.0515,0,L,HD,-
Sabah,N.47,KUAMUT,DATUK MASIUNG BANAH,BN,8042,13630,0.59,1,L,MNG,PENIAGA
Sabah,N.47,KUAMUT,EDWARD PODOK,PCS,205,13630,0.015,0,L,HD,TIADA
Sabah,N.47,KUAMUT,NORFAIZAH CHUA,WARISAN,3921,13630,0.2877,0,P,KLH,-
Sabah,N.47,KUAMUT,JUMAIDIN LAKALLA,PAS,330,13630,0.0242,0,L,HD,TIADA
Sabah,N.47,KUAMUT,JAMES AIK,SOLIDARITI,1132,13630,0.0831,0,L,HD,PENIAGA
Sabah,N.48,SUKAU,MUARIFFIDIN BIN ABDUL MALEK,HR,117,7880,0.0148,0,L,HD,BERNIAGA SENDIRI
Sabah,N.48,SUKAU,MOHD ISMAIL BIN AYOB,WARISAN,3032,7880,0.3848,0,L,KLH,-
Sabah,N.48,SUKAU,DATUK SADDI HAJI ABDUL RAHMAN,BN,4660,7880,0.5914,1,L,MNG,PENGERUSI KORPORASI PEMBANGUNAN DESA (KPD)
Sabah,N.48,SUKAU,ABDULGANI BIN KOSUI,PPRS,71,7880,0.009,0,L,HD,-
Sabah,N.49,TUNGKU,BULANGAN PANASI,HR,928,12619,0.0735,0,L,HD,BERNIAGA
Sabah,N.49,TUNGKU,ABD RAHMAN BIN TAGGOH,PKS,102,12619,0.0081,0,L,HD,0
Sabah,N.49,TUNGKU,MIZMA BINTI APPEHDULLAH,BN,5294,12619,0.4195,0,P,KLH,AHLI PERNIAGAAN
Sabah,N.49,TUNGKU,ASSAFFAL P. ALIAN,WARISAN,6295,12619,0.4989,1,L,MNG,PELADANG
Sabah,N.50,LAHAD DATU,DATO' HJ MOHAMMAD YUSOF HJ APDAL,BN,8372,20339,0.4116,0,L,KLH,AHLI PERNIAGAAN
Sabah,N.50,LAHAD DATU,WONG YU CHIN,HR,663,20339,0.0326,0,L,HD,0
Sabah,N.50,LAHAD DATU,DUMI BIN PG. MASDAL,WARISAN,11304,20339,0.5558,1,L,MNG,PELADANG
Sabah,N.51,KUNAK,NILWAN BIN KABANG,BN,4630,10161,0.4557,0,L,KLH,PEMBANTU MENTERI KABINET NEGERI SABAH
Sabah,N.51,KUNAK,NORAZLINAH BINTI ARIF,WARISAN,4898,10161,0.482,1,P,MNG,0
Sabah,N.51,KUNAK,SAHING BIN TAKING,HR,141,10161,0.0139,0,L,HD,BERNIAGA
Sabah,N.51,KUNAK,KASMAN BIN KARATE,PAS,492,10161,0.0484,0,L,HD,0
Sabah,N.52,SULABAYAN,JAUJAN BIN SAMBAKONG,WARISAN,7116,9499,0.7491,1,L,MNG,0
Sabah,N.52,SULABAYAN,UTUNG BIN TANJONG BARU,HR,54,9499,0.0057,0,L,HD,BERNIAGA SENDIRI
Sabah,N.52,SULABAYAN,DATUK HAJI HARMAN BIN MOHAMAD,BN,2190,9499,0.2306,0,L,KLH,AHLI PERNIAGAAN
